"index","answer","type","context","question"
"46","a bird's melodic song","contradiction","The music of the indigenous peoples of Central Mexico and Central America was often pentatonic. Before the arrival of the Spaniards and other Europeans, music was inseparable from religious festivities and included a large variety of percussion and wind instruments such as drums, flutes, sea snail shells (used as a trumpet) and ""rain"" tubes. No remnants of pre-Columbian stringed instruments were found until archaeologists discovered a jar in Guatemala, attributed to the Maya of the Late Classic Era (600–900 CE), which depicts a stringed musical instrument which has since been reproduced. This instrument is one of the very few stringed instruments known in the Americas prior to the introduction of European musical instruments; when played it produces a sound virtually identical to a jaguar's growl.","What did the Mayan's stringed instrument sound like when played?"
"47","Clement Walker is the one who suggests that the mulberry garden may have been a place of debauchery.","factual","Various owners leased it from royal landlords and the freehold was the subject of frenzied speculation during the 17th century. By then, the old village of Eye Cross had long since fallen into decay, and the area was mostly wasteland. Needing money, James I sold off part of the Crown freehold but retained part of the site on which he established a 4-acre (16,000 m2) mulberry garden for the production of silk. (This is at the northwest corner of today's palace.) Clement Walker in Anarchia Anglicana (1649) refers to ""new-erected sodoms and spintries at the Mulberry Garden at S. James's""; this suggests it may have been a place of debauchery. Eventually, in the late 17th century, the freehold was inherited from the property tycoon Sir Hugh Audley by the great heiress Mary Davies.","Who suggests that the mulberry garden is likely a place for debauchery?"
"48","In order to legally tap someone's telephone, public authorities must first obtain a warrant.","factual","Hoover began using wiretapping in the 1920s during Prohibition to arrest bootleggers. In the 1927 case Olmstead v. United States, in which a bootlegger was caught through telephone tapping, the United States Supreme Court ruled that FBI wiretaps did not violate the Fourth Amendment as unlawful search and seizure, as long as the FBI did not break into a person's home to complete the tapping. After Prohibition's repeal, Congress passed the Communications Act of 1934, which outlawed non-consensual phone tapping, but allowed bugging. In the 1939 case Nardone v. United States, the court ruled that due to the 1934 law, evidence the FBI obtained by phone tapping was inadmissible in court. After the 1967 case Katz v. United States overturned the 1927 case that had allowed bugging, Congress passed the Omnibus Crime Control Act, allowing public authorities to tap telephones during investigations as long as they obtain a warrant beforehand.","What is now necessary to tap someone's telephone?"
"49","The Boston National Historical Park preserves several historic sites related to the American Revolution.","factual","Because of the city's prominent role in the American Revolution, several historic sites relating to that period are preserved as part of the Boston National Historical Park. Many are found along the Freedom Trail, which is marked by a red line of bricks embedded in the ground. The city is also home to several art museums, including the Museum of Fine Arts and the Isabella Stewart Gardner Museum. The Institute of Contemporary Art is housed in a contemporary building designed by Diller Scofidio + Renfro in the Seaport District. The University of Massachusetts Boston campus on Columbia Point houses the John F. Kennedy Library. The Boston Athenaeum (one of the oldest independent libraries in the United States), Boston Children's Museum, Bull & Finch Pub (whose building is known from the television show Cheers), Museum of Science, and the New England Aquarium are within the city.","What is preserved in the Boston national Historical Park?"
"50","In some jurisdictions, a third party that did not have a role in producing the work can be contractually assigned the copyright or the right to enforce it.","factual","In some jurisdictions, copyright or the right to enforce it can be contractually assigned to a third party which did not have a role in producing the work. When this outsourced litigator appears to have no intention of taking any copyright infringement cases to trial, but rather only takes them just far enough through the legal system to identify and exact settlements from suspected infringers, critics commonly refer to the party as a ""copyright troll."" Such practices have had mixed results in the U.S.","Who can be assigned a contract to enforce a copyright in some jurisdictions?"
"51","Additive methods use less raw materials.","irrelevant","In Apollo's role as a healer, his appellations included Acesius (/əˈsiːʒəs/ ə-SEE-zhəs; Ἀκέσιος, Akesios, from ἄκεσις, ""healing""), Acestor (/əˈsɛstər/ ə-SES-tər; Ἀκέστωρ, Akestōr, literally ""healer""), Paean (/ˈpiːən/ PEE-ən; Παιάν, Paiān, from παίειν, ""to touch""),[citation needed] and Iatrus (/aɪˈætrəs/ eye-AT-rəs; Ἰατρός, Iātros, literally ""physician""). Acesius was the epithet of Apollo worshipped in Elis, where he had a temple in the agora. The Romans referred to Apollo as Medicus (/ˈmɛdᵻkəs/ MED-i-kəs; literally ""physician"" in Latin) in this respect. A temple was dedicated to Apollo Medicus at Rome, probably next to the temple of Bellona.","Where did Apollo have a temple in the agora?"
"52","Human psychology is part of the interdisciplinary field known as cognitive science.","factual","","What is the group that human psychology belongs to?"
"53","The French Revolution revoked Strasbourg's status as a free city.","factual","Strasbourg's status as a free city was revoked by the French Revolution. Enragés, most notoriously Eulogius Schneider, ruled the city with an increasingly iron hand. During this time, many churches and monasteries were either destroyed or severely damaged. The cathedral lost hundreds of its statues (later replaced by copies in the 19th century) and in April 1794, there was talk of tearing its spire down, on the grounds that it was against the principle of equality. The tower was saved, however, when in May of the same year citizens of Strasbourg crowned it with a giant tin Phrygian cap. This artifact was later kept in the historical collections of the city until it was destroyed by the Germans in 1870 during the Franco-Prussian war.","What revoked Strasbourg's status as a free city? "
"54","Along with anklets, Somali women traditionally wear necklaces as part of their jewelry.","factual","Additionally, Somali women have a long tradition of wearing gold jewelry, particularly bangles. During weddings, the bride is frequently adorned in gold. Many Somali women by tradition also wear gold necklaces and anklets.","Along with anklets, what pieces of jewelry are traditionally worn by Somali women?"
"55","In the 1960s, the life expectancy in Egypt was 44.8 years.","irrelevant","","What position is the gymnast when in the air?"
"56","The subtype of clitellates that includes earthworms is called oligochaetes.","factual","","What subtype of clitellates contains earthworms?"
"57","The primary seminary of the Congregation of the Holy Cross is Moreau Seminary, which is located on the university campus across St. Joseph lake from the Main Building.","factual","","What is the primary seminary of the Congregation of the Holy Cross?"
"58","Burke presented four reasons against using force in his argument to Parliament.","factual","Burke was not merely presenting a peace agreement to Parliament; rather, he stepped forward with four reasons against using force, carefully reasoned. He laid out his objections in an orderly manner, focusing on one before moving to the next. His first concern was that the use of force would have to be temporary, and that the uprisings and objections to British governance in America would not be. Second, Burke worried about the uncertainty surrounding whether Britain would win a conflict in America. ""An armament"", Burke said, ""is not a victory"". Third, Burke brought up the issue of impairment; it would do the British Government no good to engage in a scorched earth war and have the object they desired (America) become damaged or even useless. The American colonists could always retreat into the mountains, but the land they left behind would most likely be unusable, whether by accident or design. The fourth and final reason to avoid the use of force was experience; the British had never attempted to rein in an unruly colony by force, and they did not know if it could be done, let alone accomplished thousands of miles away from home. Not only were all of these concerns reasonable, but some turned out to be prophetic – the American colonists did not surrender, even when things looked extremely bleak, and the British were ultimately unsuccessful in their attempts to win a war fought on American soil.","How many reasons against violence did Burke present?"
"59","The radioactivity of thorium oxide has led to it being replaced by lanthanum oxide in modern eyeglasses.","irrelevant","Scarab beetles held religious and cultural symbolism in Old Egypt, Greece and some shamanistic Old World cultures. The ancient Chinese regarded cicadas as symbols of rebirth or immortality. In Mesopotamian literature, the epic poem of Gilgamesh has allusions to Odonata which signify the impossibility of immortality. Amongst the Aborigines of Australia of the Arrernte language groups, honey ants and witchety grubs served as personal clan totems. In the case of the 'San' bush-men of the Kalahari, it is the praying mantis which holds much cultural significance including creation and zen-like patience in waiting.:9","Cicadas symbolize immortality in what culture?"
"60","Edmond Halley aimed to study stars from the Southern Hemisphere with the telescope.","factual","On leaving the University of Oxford, in 1676, Edmond Halley visited Saint Helena and set up an astronomical observatory with a 7.3-metre-long (24 ft) aerial telescope with the intention of studying stars from the Southern Hemisphere. The site of this telescope is near Saint Mathew's Church in Hutt's Gate, in the Longwood district. The 680-metre (2,230 ft) high hill there is named for him and is called Halley's Mount.","What hemisphere of stars did Edmond Halley want to study with the telescope?"
"61","During the summer, temperatures in New Haven exceed 90 °F (32 °C) on 7 to 8 days each year.","factual","","Does summertime gets weather hotter than 90 degrees?"
"62","Spinoza believed that the world was composed of a single substance, which he identified as God or, equivalently, Nature.","irrelevant","Elsewhere in the Americas, in the Caribbean in particular, Baptist missionaries took an active role in the anti-slavery movement. In Jamaica, for example, William Knibb, a prominent British Baptist missionary, worked toward the emancipation of slaves in the British West Indies (which took place in 1838). Knibb also protagonised the creation of ""Free Villages""; rural communities centred around a Baptist church where emancipated slaves could farm their own land. Baptists were likewise active in promoting the education of former slaves; for example, Jamaica's Calabar High School, named after the slave port of Calabar, was formed by Baptist missionaries. At the same time, during and after slavery, slaves and free formed their own Spiritual Baptist movements - breakaway spiritual movements which often expressed resistance to oppression.","Where did Baptist missionaries take an active role in the anti-slavery movement?"
"63","The Beacon is the student newspaper for Florida International University.","factual","Other major newspapers include Miami Today, headquartered in Brickell, Miami New Times, headquartered in Midtown, Miami Sun Post, South Florida Business Journal, Miami Times, and Biscayne Boulevard Times. An additional Spanish-language newspapers, Diario Las Americas also serve Miami. The Miami Herald is Miami's primary newspaper with over a million readers and is headquartered in Downtown in Herald Plaza. Several other student newspapers from the local universities, such as the oldest, the University of Miami's The Miami Hurricane, Florida International University's The Beacon, Miami-Dade College's The Metropolis, Barry University's The Buccaneer, amongst others. Many neighborhoods and neighboring areas also have their own local newspapers such as the Aventura News, Coral Gables Tribune, Biscayne Bay Tribune, and the Palmetto Bay News.","For what university is The Beacon the student newspaper?"
"64","In the later years of the Eastern Roman Empire, regions such as Ionia and Constantinople experienced a revival of Greek traditions and appreciations in language, philosophy, and literature, based on classical models of thought and scholarship.","factual","","When did most of the Eastward sector of the Roman expanse choose to have a rebirth of Greek traditions and appreciations ?"
"65","The Quran uses the term ""ummi"" to describe Mohammad's lack of exposure to scripture.","factual","The Quran describes Muhammad as ""ummi"", which is traditionally interpreted as ""illiterate,"" but the meaning is rather more complex. Medieval commentators such as Al-Tabari maintained that the term induced two meanings: first, the inability to read or write in general; second, the inexperience or ignorance of the previous books or scriptures (but they gave priority to the first meaning). Muhammad's illiteracy was taken as a sign of the genuineness of his prophethood. For example, according to Fakhr al-Din al-Razi, if Muhammad had mastered writing and reading he possibly would have been suspected of having studied the books of the ancestors. Some scholars such as Watt prefer the second meaning of ""ummi"" - they take it to indicate unfamiliarity with earlier sacred texts.","What term does the Quran use to describe Mohammad's lack of exposure to scripture?"
"66","The Orthodox Christians living under Ottoman rule did not show any signs of rising up against the Turks.","factual","In the west, the Russians were dissuaded from attacking Vidin by the presence of the Austrian forces, which had swelled to 280,000 men. On 28 May 1854 a protocol of the Vienna Conference was signed by Austria and Russia. One of the aims of the Russian advance had been to encourage the Orthodox Christian Serbs and Bulgarians living under Ottoman rule to rebel. However, when the Russian troops actually crossed the River Pruth into Moldavia, the Orthodox Christians still showed no interest in rising up against the Turks.:131, 137 Adding to the worries of Nicholas I was the concern that Austria would enter the war against the Russians and attack his armies on the western flank. Indeed, after attempting to mediate a peaceful settlement between Russia and Turkey, the Austrians entered the war on the side of Turkey with an attack against the Russians in the Principalities which threatened to cut off the Russian supply lines. Accordingly, the Russians were forced to raise the siege of Silistra on 23 June 1854, and begin abandoning the Principalities.:185 The lifting of the siege reduced the threat of a Russian advance into Bulgaria.","Who didn't show any signs of rising up against the Turks?"
"67","The total donations collected during the program amounted to 1.5 billion Chinese Yuan.","factual","On the evening of May 18, CCTV-1 hosted a special four-hour program called The Giving of Love (simplified Chinese: 爱的奉献; traditional Chinese: 愛的奉獻), hosted by regulars from the CCTV New Year's Gala and round-the-clock coverage anchor Bai Yansong. It was attended by a wide range of entertainment, literary, business and political figures from mainland China, Hong Kong, Singapore and Taiwan. Donations of the evening totalled 1.5 billion Chinese Yuan (~US$208 million). Of the donations, CCTV gave the biggest corporate contribution at ¥50 million. Almost at the same time in Taiwan, a similarly themed programme was on air hosted by the sitting president Ma Ying-jeou. In June, Hong Kong actor Jackie Chan, who donated $1.57 million to the victims, made a music video alongside other artists entitled ""Promise""; the song was composed by Andy Lau. The Artistes 512 Fund Raising Campaign, an 8-hour fundraising marathon, was held on June 1 in Hong Kong; it was attended by some 200 Sinosphere musicians and celebrities. In Singapore, MediaCorp Channel 8 hosted a 'live' programme 让爱川流不息 to raise funds for the victims.","How large were the donations from the program?"
"68","In Dutch-speaking regions, the term used for daylight saving time is ""zomertijd.""","factual","In Britain, Willett's 1907 proposal used the term daylight saving, but by 1911 the term summer time replaced daylight saving time in draft legislation. Continental Europe uses similar phrases, such as Sommerzeit in Germany, zomertijd in Dutch-speaking regions, kesäaika in Finland, horario de verano or hora de verano in Spain and heure d'été in France, whereas in Italy the term is ora legale, that is, legal time (legally enforced time) as opposed to ""ora solare"", solar time, in winter.","What word do speakers of Dutch use for DST?"
"69","The People's Daily, a state-run newspaper, called upon citizens to express their patriotic enthusiasm in a calm and rational manner, and to pursue their patriotic aspirations through orderly and legal means.","factual","In response to the demonstrations, the Chinese government attempted to calm the situation, possibly fearing the protests may spiral out of control as has happened in recent years, including the anti-Japanese protests in 2005. State media and commentaries began to call for calm, such as an editorial in the People's Daily which urged Chinese people to ""express [their] patriotic enthusiasm calmly and rationally, and express patriotic aspiration in an orderly and legal manner"". The government also began to patrol and censor the internet forums such as Sohu.com, with comments related to the Carrefour boycott removed. In the days prior to the planned boycott, evidence of efforts by Chinese authorities to choke the mass boycott's efforts online became even more evident, including barring searches of words related to the French protests, but protests broke out nonetheless in front of Carrefour's stores at Beijing, Changsha, Fuzhou and Shenyang on May 1.","Which newspaper urged citizens to protest peacefully?"
"70","Alfred the Great's reign began in the year 871.","factual","With the unification of the Anglo-Saxon kingdoms (outside the Danelaw) by Alfred the Great in the later 9th century, the language of government and literature became standardised around the West Saxon dialect (Early West Saxon). Alfred advocated education in English alongside Latin, and had many works translated into the English language; some of them, such as Pope Gregory I's treatise Pastoral Care, appear to have been translated by Alfred himself. In Old English, typical of the development of literature, poetry arose before prose, but King Alfred the Great (871 to 901) chiefly inspired the growth of prose.","When did Alfred the Great's reign begin?"
"71","The first African American Baptist Minister was elected to the Richmond City Council in the year 1990.","factual","In 1990 religion and politics intersected to impact the outcome of the Eighth District election in South Richmond. With the endorsements of black power brokers, black clergy and the Richmond Crusade for Voters, South Richmond residents made history, electing Reverend A. Carl Prince to the Richmond City Council. As the first African American Baptist Minister elected to the Richmond City Council, Prince's election paved the way for a political paradigm shift in politics that persist today. Following Prince's election, Reverend Gwendolyn Hedgepeth and the Reverend Leonidas Young, former Richmond Mayor were elected to public office. Prior to Prince's election black clergy made political endorsements and served as appointees to the Richmond School Board and other boards throughout the city. Today religion and politics continues to thrive in the Commonwealth of Virginia. The Honorable Dwight C. Jones, a prominent Baptist pastor and former Chairman of the Richmond School Board and Member of the Virginia House of Delegates serves as Mayor of the City of Richmond.","In what year was the first black Baptist minister elected to the city council?"
"72","A Torah study institute for married men is called a kollel.","factual","Haredi Judaism advocates segregation from non-Jewish culture, although not from non-Jewish society entirely. It is characterised by its focus on community-wide Torah study. Haredi Orthodoxy's differences with Modern Orthodoxy usually lie in interpretation of the nature of traditional halakhic concepts and in acceptable application of these concepts. Thus, engaging in the commercial world is a legitimate means to achieving a livelihood, but individuals should participate in modern society as little as possible. The same outlook is applied with regard to obtaining degrees necessary to enter one's intended profession: where tolerated in the Haredi society, attending secular institutions of higher education is viewed as a necessary but inferior activity. Academic interest is instead to be directed toward the religious education found in the yeshiva. Both boys and girls attend school and may proceed to higher Torah study, starting anywhere between the ages of 13 and 18. A significant proportion of students, especially boys, remain in yeshiva until marriage (which is often arranged through facilitated dating – see shiduch), and many study in a kollel (Torah study institute for married men) for many years after marriage. Most Orthodox men (including many Modern Orthodox), even those not in Kollel, will study Torah daily.","What is a Torah study institute for married men called?"
"73","Xenophon visited Armenia around 401 BC.","factual","The exonym Armenia is attested in the Old Persian Behistun Inscription (515 BC) as Armina (    ). The ancient Greek terms Ἀρμενία (Armenía) and Ἀρμένιοι (Arménioi, ""Armenians"") are first mentioned by Hecataeus of Miletus (c. 550 BC – c. 476 BC). Xenophon, a Greek general serving in some of the Persian expeditions, describes many aspects of Armenian village life and hospitality in around 401 BC. He relates that the people spoke a language that to his ear sounded like the language of the Persians. According to the histories of both Moses of Chorene and Michael Chamchian, Armenia derives from the name of Aram, a lineal descendant of Hayk.","When did Xenophon visit Armenia?"
"74","The FBI increased its counter-terrorism role between 1993 and 1996.","factual","Between 1993 and 1996, the FBI increased its counter-terrorism role in the wake of the first 1993 World Trade Center bombing in New York City, New York; the 1995 Oklahoma City bombing in Oklahoma City, Oklahoma; and the arrest of the Unabomber in 1996. Technological innovation and the skills of FBI Laboratory analysts helped ensure that the three cases were successfully prosecuted. Justice Department investigations into the FBI's roles in the Ruby Ridge and Waco incidents were found to be obstructed by agents within the Bureau. During the 1996 Summer Olympics in Atlanta, Georgia, the FBI was criticized for its investigation of the Centennial Olympic Park bombing. It has settled a dispute with Richard Jewell, who was a private security guard at the venue, along with some media organizations, in regard to the leaking of his name during the investigation.","When did the FBI increase it's counter-terrorism role?"
"75","Lashun ki chutney, also known as hot garlic paste, is a famous dish in Rajasthani cuisine.","factual","Rajasthani cooking was influenced by both the war-like lifestyles of its inhabitants and the availability of ingredients in this arid region. Food that could last for several days and could be eaten without heating was preferred. The scarcity of water and fresh green vegetables have all had their effect on the cooking. It is known for its snacks like Bikaneri Bhujia. Other famous dishes include bajre ki roti (millet bread) and lashun ki chutney (hot garlic paste), mawa kachori Mirchi Bada, Pyaaj Kachori and ghevar from Jodhpur, Alwar ka Mawa(Milk Cake), malpauas from Pushkar and rassgollas from Bikaner. Originating from the Marwar region of the state is the concept Marwari Bhojnalaya, or vegetarian restaurants, today found in many parts of India, which offer vegetarian food of the Marwari people. 4 Dal-Bati-Churma is very popular in Rajasthan. The traditional way to serve it is to first coarsely mash the Baati then pour pure Ghee on top of it. It is served with the daal (lentils) and spicy garlic chutney. Also served with Besan (gram flour) ki kadi. It is commonly served at all festivities, including religious occasions, wedding ceremonies, and birthday parties in Rajasthan. ""Dal-Baati-Churma"", is a combination of three different food items — Daal (lentils), Baati and Churma (Sweet). It is a typical Rajasthani dish.","What famous dish is also known as hot garlic paste?"
"76","New York City Hall is located in the borough of Manhattan.","factual","Uniquely among major American cities, New York is divided between, and is host to the main branches of, two different US district courts: the District Court for the Southern District of New York, whose main courthouse is on Foley Square near City Hall in Manhattan and whose jurisdiction includes Manhattan and the Bronx, and the District Court for the Eastern District of New York, whose main courthouse is in Brooklyn and whose jurisdiction includes Brooklyn, Queens, and Staten Island. The US Court of Appeals for the Second Circuit and US Court of International Trade are also based in New York, also on Foley Square in Manhattan.","In what borough is the New York City Hall found?"
"77","The Fund's programs also provide support for young people, in addition to women and men.","factual","UNFPA is the world's largest multilateral source of funding for population and reproductive health programs. The Fund works with governments and non-governmental organizations in over 150 countries with the support of the international community, supporting programs that help women, men and young people:","The Fund's programs support women, men, and who else?"
"78","The British Isles area became separated from the European continent around 8,000 years ago.","contradiction","","When did the British Isles area become separated from the European continent?"
"79","The original 500 Puritan settlers who founded New Haven came from the Massachusetts Bay Colony.","factual","In 1637 a small party of Puritans reconnoitered the New Haven harbor area and wintered over. In April 1638, the main party of five hundred Puritans who left the Massachusetts Bay Colony under the leadership of the Reverend John Davenport and the London merchant Theophilus Eaton sailed into the harbor. These settlers were hoping to establish a (in their mind) better theological community, with the government more closely linked to the church than the one they left in Massachusetts and sought to take advantage of the excellent port capabilities of the harbor. The Quinnipiacs, who were under attack by neighboring Pequots, sold their land to the settlers in return for protection.","From what colony did the original 500 Puritan settlers originate?"
"80","There are 16 members on the Houston City Council, in addition to the mayor and controller.","factual","The city of Houston has a strong mayoral form of municipal government. Houston is a home rule city and all municipal elections in the state of Texas are nonpartisan. The City's elected officials are the mayor, city controller and 16 members of the Houston City Council. The current mayor of Houston is Sylvester Turner, a Democrat elected on a nonpartisan ballot. Houston's mayor serves as the city's chief administrator, executive officer, and official representative, and is responsible for the general management of the city and for seeing that all laws and ordinances are enforced.","Besides the mayor and controller, how many members are there on the city council?"
"81","Uric acid is combined with undigested food particles in the hindgut to form fecal pellets.","irrelevant","Spielberg first met actress Amy Irving in 1976 at the suggestion of director Brian De Palma, who knew he was looking for an actress to play in Close Encounters. After meeting her, Spielberg told his co-producer Julia Phillips, ""I met a real heartbreaker last night."":293 Although she was too young for the role, she and Spielberg began dating and she eventually moved in to what she described as his ""bachelor funky"" house.:294 They lived together for four years, but the stresses of their professional careers took a toll on their relationship. Irving wanted to be certain that whatever success she attained as an actress would be her own: ""I don't want to be known as Steven's girlfriend,"" she said, and chose not to be in any of his films during those years.:295","What was Amy Irving's career?"
"82","No contestants from this season achieved platinum album status in the U.S.","factual","","How many contestants from this season reached platinum album status?"
"83","Alexander the Great utilized Thracians and Agrianes as light cavalry in his army.","factual","The Odrysian Kingdom was a union of Thracian tribes under the kings of the powerful Odrysian tribe centered around the region of Thrace. Various parts of Thrace were under Macedonian rule under Philip II of Macedon, Alexander the Great, Lysimachus, Ptolemy II, and Philip V but were also often ruled by their own kings. The Thracians and Agrianes were widely used by Alexander as peltasts and light cavalry, forming about one fifth of his army. The Diadochi also used Thracian mercenaries in their armies and they were also used as colonists. The Odrysians used Greek as the language of administration and of the nobility. The nobility also adopted Greek fashions in dress, ornament and military equipment, spreading it to the other tribes. Thracian kings were among the first to be Hellenized.","Who used Thracians and Agrianes as light cavalry?"
"84","By the 17th century, the Rio police had grown to the point where most captaincies in the region had established local units responsible for law enforcement functions.","irrelevant","The first visible institution to run into trouble in the United States was the Southern California–based IndyMac, a spin-off of Countrywide Financial. Before its failure, IndyMac Bank was the largest savings and loan association in the Los Angeles market and the seventh largest mortgage originator in the United States. The failure of IndyMac Bank on July 11, 2008, was the fourth largest bank failure in United States history up until the crisis precipitated even larger failures, and the second largest failure of a regulated thrift. IndyMac Bank's parent corporation was IndyMac Bancorp until the FDIC seized IndyMac Bank. IndyMac Bancorp filed for Chapter 7 bankruptcy in July 2008.","Which financial institution was the first one visible to run into trouble in the United States?"
"85","Comcast abandoned their bid in order to concentrate on acquiring ESPN, the sports network they considered to be Disney's most valuable asset.","factual","On February 11, 2004, Comcast announced a $54 billion bid for The Walt Disney Company, as well as taking on $12 billion of Disney's debt. The deal would have made Comcast the largest media conglomerate in the world. However, after rejection by Disney and uncertain response from investors, the bid was abandoned in April. The main reason for the buyout attempt was so that Comcast could acquire Disney's 80 percent stake in ESPN, which a Comcast executive called ""the most important and valuable asset"" that Disney owned.","Comcast dropped their bid to focus on acquiring what sports network?"
"86","Most of the research in the sociology of culture is qualitative in nature.","irrelevant","Sonam Gyatso, after being granted the grandiose title by Altan Khan, departed for Tibet. Before he left, he sent a letter and gifts to the Ming Chinese official Zhang Juzheng (1525–1582), which arrived on March 12, 1579. Sometime in August or September of that year, Sonam Gyatso's representative stationed with Altan Khan received a return letter and gift from the Wanli Emperor (r. 1572–1620), who also conferred upon Sonam Gyatso a title; this was the first official contact between a Dalai Lama and a government of China. However, Laird states that when Wanli invited him to Beijing, the Dalai Lama declined the offer due to a prior commitment, even though he was only 400 km (250 mi) from Beijing. Laird adds that ""the power of the Ming emperor did not reach very far at the time."" Although not recorded in any official Chinese records, Sonam Gyatso's biography states that Wanli again conferred titles on Sonam Gyatso in 1588, and invited him to Beijing for a second time, but Sonam Gyatso was unable to visit China as he died the same year in Mongolia working with Altan Khan's son to further the spread of Buddhism.","Who was given the grandiose title?"
"87","The 1998 Good Friday Agreement led to the establishment of policies that are common across the entire island of Ireland.","factual","","The 1998 Good Friday Agreement resulted in what arrangement?"
"88","Washington University was ranked #1 for quality of life in 2008 according to The Princeton Review.","factual","In 2013, Washington University received a record 30,117 applications for a freshman class of 1,500 with an acceptance rate of 13.7%. More than 90% of incoming freshmen whose high schools ranked were ranked in the top 10% of their high school classes. In 2006, the university ranked fourth overall and second among private universities in the number of enrolled National Merit Scholar freshmen, according to the National Merit Scholar Corporation's annual report. In 2008, Washington University was ranked #1 for quality of life according to The Princeton Review, among other top rankings. In addition, the Olin Business School's undergraduate program is among the top 4 in the country. The Olin Business School's undergraduate program is also among the country's most competitive, admitting only 14% of applicants in 2007 and ranking #1 in SAT scores with an average composite of 1492 M+CR according to BusinessWeek.","When was Washington University ranked #1 for quality of life?"
"89","The dry season in Guam typically runs from December to June.","irrelevant","Plumage is regularly moulted; the standard plumage of a bird that has moulted after breeding is known as the ""non-breeding"" plumage, or—in the Humphrey-Parkes terminology—""basic"" plumage; breeding plumages or variations of the basic plumage are known under the Humphrey-Parkes system as ""alternate"" plumages. Moulting is annual in most species, although some may have two moults a year, and large birds of prey may moult only once every few years. Moulting patterns vary across species. In passerines, flight feathers are replaced one at a time with the innermost primary being the first. When the fifth of sixth primary is replaced, the outermost tertiaries begin to drop. After the innermost tertiaries are moulted, the secondaries starting from the innermost begin to drop and this proceeds to the outer feathers (centrifugal moult). The greater primary coverts are moulted in synchrony with the primary that they overlap. A small number of species, such as ducks and geese, lose all of their flight feathers at once, temporarily becoming flightless. As a general rule, the tail feathers are moulted and replaced starting with the innermost pair. Centripetal moults of tail feathers are however seen in the Phasianidae. The centrifugal moult is modified in the tail feathers of woodpeckers and treecreepers, in that it begins with the second innermost pair of feathers and finishes with the central pair of feathers so that the bird maintains a functional climbing tail. The general pattern seen in passerines is that the primaries are replaced outward, secondaries inward, and the tail from center outward. Before nesting, the females of most bird species gain a bare brood patch by losing feathers close to the belly. The skin there is well supplied with blood vessels and helps the bird in incubation.","What type of birds may moult only once every few years?"
"90","The CD-4 format experienced even less success compared to the two matrixed formats.","factual","A different format, CD-4 (not to be confused with compact disc), by RCA, encoded the front-rear difference information on an ultrasonic carrier, which required a special wideband cartridge to capture it on carefully calibrated pickup arm/turntable combinations. CD-4 was even less successful than the two matrixed formats. (A further problem was that no cutting heads were available that could handle the HF information. That was remedied by cutting at half the speed. Later, the special half-speed cutting heads and equalization techniques were employed to get a wider frequency response in stereo with reduced distortion and greater headroom.)","How widespread was the success of CD-4 format? "
"91","One of the latest presentations of this vocabulary was the letter to the Times.","contradiction","Much of the colonial administration belonged to this club, which had been formed by the Duke of Wellington. Meadows' terminology must represent usage by that administration. If not the first use of the terms, the letter to the Times was certainly one of the earliest presentations of this vocabulary to the general public. They became immediately popular, supplanting ""Levant"" and ""East Indies,"" which gradually receded to minor usages and then began to change meaning.","What was one of the earliest presentations of this vocabulary?"
"92","The first president to use wiretaps to find bootleggers was Hoover.","factual","Hoover began using wiretapping in the 1920s during Prohibition to arrest bootleggers. In the 1927 case Olmstead v. United States, in which a bootlegger was caught through telephone tapping, the United States Supreme Court ruled that FBI wiretaps did not violate the Fourth Amendment as unlawful search and seizure, as long as the FBI did not break into a person's home to complete the tapping. After Prohibition's repeal, Congress passed the Communications Act of 1934, which outlawed non-consensual phone tapping, but allowed bugging. In the 1939 case Nardone v. United States, the court ruled that due to the 1934 law, evidence the FBI obtained by phone tapping was inadmissible in court. After the 1967 case Katz v. United States overturned the 1927 case that had allowed bugging, Congress passed the Omnibus Crime Control Act, allowing public authorities to tap telephones during investigations as long as they obtain a warrant beforehand.","Which president was the first to use wiretaps to find bootleggers?"
"93","In the Head Money Cases, the US Supreme Court ruled that treaties do have a privileged position over Acts of Congress.","contradiction","The Supreme Court ruled in the Head Money Cases that ""treaties"" do not have a privileged position over Acts of Congress and can be repealed or modified (for the purposes of U.S. law) by any subsequent Act of Congress, just like with any other regular law. The Supreme Court also ruled in Reid v. Covert that any treaty provision that conflicts with the Constitution are null and void under U.S. law.","In what cases did the US Supreme Court rule that treaties do not have a privileged position over Acts of Congress?"
"94","In the 19th century, an avalanche destroyed 120 homes in a village located near Zermatt.","factual","Glaciers end in ice caves (the Rhone Glacier), by trailing into a lake or river, or by shedding snowmelt on a meadow. Sometimes a piece of glacier will detach or break resulting in flooding, property damage and loss of life. In the 17th century about 2500 people were killed by an avalanche in a village on the French-Italian border; in the 19th century 120 homes in a village near Zermatt were destroyed by an avalanche.","How many homes in a village near Zermatt were destroyed by an avalanche in the 19th century? "
